NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
701.7093086139539,2099.5177013589073,12,57,8,36,1428.8358754400622,-1203.3044760167447,29.347000521096028,17.878085226296196,6,0.03186288535267637,1
1093.0612244898,1582.875,19,38,36,21,1337.9681122449,-489.8137755102,28.5,16.0,2,0.0213009560834452,0
968.76,2536.0,18,49,53,31,1752.38,-1567.24,37.75,20.0,-4,0.0215421312728851,0
759.958333333333,2045.64705882353,15,37,24,22,1402.8026960784314,-1285.688725490197,24.5,8.5,13,0.0174650362937516,0
612.326530612245,1454.0,20,56,58,32,1033.1632653061224,-841.673469387755,41.5,25.0,-2,0.040167901234529,0
936.0,2524.30769230769,8,33,33,22,1730.153846153845,-1588.30769230769,24.0,11.0,0,0.0138715987906731,0
882.980392156863,2200.8,14,23,34,12,1541.8901960784317,-1317.8196078431372,20.75,16.5,-11,0.0134575082277331,0
999.5,2026.5,12,27,25,8,1513.0,-1027.0,18.0,18.0,2,0.0118968935888883,1
1158.04,1725.23076923077,11,35,30,15,1441.635384615385,-567.19076923077,22.75,17.5,5,0.0157806892385994,1
599.659574468085,1736.75675675676,12,46,46,30,1168.2081656124226,-1137.097182288675,33.5,16.0,0,0.0286763960277655,0
666.5,1378.125,27,61,63,34,1022.3125,-711.625,46.25,28.0,-2,0.0452405697865914,0
989.061224489796,2930.05263157895,6,11,18,13,1959.556928034373,-1940.9914070891537,12.0,1.5,-7,0.006123833315744,1
1084.9109082922078,3538.947884023517,3,18,8,11,3107.28554131177,-2815.431547201024,17.809783962120896,14.194279664959186,3,0.00804509424959548,1
927.0217449897057,4454.26997572666,3,18,9,17,2686.787431397721,-2347.699985614114,20.065136912589047,10.395415503903415,8,0.0029784268801996,1
684.3559227696767,1671.8647022746277,15,56,9,10,1838.2341144186803,-1107.8605151794914,23.216270393044635,18.26985123023867,4,0.007088052688786917,1
