ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
1,1248,2903.38461538462,5,23,17,8,1305.09803921569,2475.375,4,16,6,13,16,25
2,921.142857142857,2212,21,48,22,29,705.872340425532,2515.45945945946,22,30,35,34,31,21
3,902.72,1943.84615384615,14,28,26,18,960.408163265306,2131.75609756098,9,11,14,12,21,28
5,1334.29787234043,3707.26829268293,9,17,10,-99,-99,-99,5,-99,-99,-99,25,21
6,1274.50980392157,2384.91891891892,16,34,37,16,1012.5,1936.725,19,41,42,5,31,14
7,1150.5,2817.07317073171,12,33,24,14,1199.12,3029.92307692308,13,31,28,14,29,28
8,637.795918367347,1583.07692307692,21,48,43,26,713.5,1810.09756097561,23,51,49,25,37,14
9,1565.09803921569,2482.09756097561,14,23,28,15,-99,-99,-99,-99,-99,-99,31,-99
10,1793.48,3539,10,14,31,20,1288.27450980392,2780.70731707317,12,25,27,14,26,33
11,1251.05882352941,2636.78048780488,16,42,33,23,957,2156,20,48,42,28,26,28
12,1185.6,2193,18,41,33,23,2107,2494.90243902439,19,43,37,24,30,28
13,1344,3960.83333333333,8,21,25,12,920.705882352941,2757.825,9,28,25,13,21,28
14,1126.5,1932,16,36,33,20,853,2453.5,15,35,33,15,24,33
15,1686.43137254902,2593.24390243902,13,31,26,17,1151,2269,15,42,31,24,28,28
16,612.326530612245,1454,20,56,58,32,573.04,1409,24,60,60,29,35,14
17,825.882352941176,3000.72972972973,17,35,37,17,903.102040816327,2585,13,30,24,22,31,33
18,1184.5,2256.33333333333,5,29,27,12,1094.08,2083.42105263158,13,19,19,13,21,28
19,980.2,3614.0487804878,12,24,26,15,1394,2906,14,32,31,15,24,28
20,847.08,1811.38461538462,11,49,44,27,783.5,1741.9756097561,19,56,54,31,31,21
21,1073.5,2352,12,47,38,21,889,2251.2,13,37,37,23,30,21
22,567.921568627451,1516.2,17,35,61,38,669.066666666667,1074.40540540541,18,65,65,34,38,14
23,629.098039215686,1830.86842105263,18,56,49,26,623.48,1648.76923076923,20,54,52,32,39,28
24,798.2,1751.5,21,64,69,38,578,1566.15789473684,21,67,68,41,48,14
25,951.294117647059,2147.12195121951,17,41,37,29,836.078431372549,1497.65853658537,22,42,45,34,40,21
26,1710.46808510638,3418.39024390244,4,19,19,13,1331.09803921569,2435.5,10,25,14,15,17,28
28,1675.44,2805.29268292683,8,14,14,6,1816.94117647059,3876.80487804878,5,12,14,10,15,28
29,899.294117647059,2301,10,44,31,24,1232,3928.61538461538,11,27,31,9,31,21
30,1093.01960784314,2463.65853658537,12,52,43,22,1263,2257,15,50,37,22,27,14
31,992.078431372549,1631,11,31,36,13,811.5,1389.31578947368,8,33,21,19,25,27
32,774.901960784314,3168.78947368421,8,28,30,12,1089.87755102041,3103.45945945946,8,17,18,11,19,28
33,647.5,1675.275,20,46,46,33,-99,-99,-99,-99,-99,-99,34,-99
35,1840.8,2940,11,19,22,10,1236.04,2594.78048780488,10,18,20,13,20,28
36,1495.76470588235,3014.78048780488,3,15,4,-99,1592.89795918367,2353.07692307692,4,20,23,11,19,40
37,882.916666666667,2332.05,8,26,20,15,927.333333333333,1723.07692307692,13,24,20,14,23,38
38,1199.56862745098,3297,8,18,14,9,1163.37254901961,2541,7,18,16,5,16,38
39,1586,3100.62162162162,4,15,16,7,1220.96,2348.5,5,23,21,9,21,40
40,901,1958.25,12,30,30,23,1054.56,1874.38461538462,17,38,36,25,23,40
41,1450.69387755102,2711,5,23,29,11,-99,-99,-99,-99,-99,-99,15,-99
42,1158.56,3022.5,4,18,14,9,1417.5,2849.85365853659,4,24,27,12,14,38
43,1425.92156862745,3537.45,9,15,11,13,1219.4,2964,13,35,18,16,23,18
44,1194.96,2755.84615384615,7,17,9,8,970.666666666667,1977.23076923077,9,23,21,7,16,40
45,930.8,2380.73684210526,12,31,27,16,921.44,2823.39473684211,15,37,27,22,25,18
46,1575.91836734694,2815.07692307692,4,10,15,7,1525,2671.09756097561,9,16,11,8,9,18
47,1594.5,3403.13513513514,9,13,13,4,1693.05882352941,3033,11,18,22,8,15,40
48,1165.32,3084.9,6,18,26,8,-99,-99,-99,-99,-99,-99,-99,-99
49,1651,2926,7,22,12,8,1224.08,2043.65853658537,7,31,26,13,13,18
50,1574.08333333333,3326.75,-99,-99,-99,-99,1578.72,2120.32258064516,3,13,15,7,10,40
51,1040,2132.55,13,30,29,21,1264,2033.41463414634,12,22,24,20,23,18
52,1355.05882352941,2700.5,9,26,24,7,1152,3866.21052631579,9,26,11,-99,18,40
53,989.061224489796,2930.05263157895,6,11,18,13,-99,-99,7,-99,6,-99,20,40
54,1092.5,2574.6,14,30,24,16,-99,-99,-99,-99,-99,-99,24,-99
55,1165.41176470588,2165.625,8,17,17,12,912.765957446809,1465.90243902439,11,23,14,11,18,38
56,1333.64705882353,2698.76923076923,13,23,37,25,1143,2689.05,17,38,34,-99,21,18
57,1111,2287.5,9,28,26,12,777.960784313726,1327.08333333333,14,39,29,20,30,28
58,1342.5,2542.61538461538,10,25,22,3,941.098039215686,1499.07692307692,8,17,11,7,28,25
59,1050.83333333333,1852.30769230769,11,27,30,12,813.8,2061.40540540541,13,35,26,11,29,27
60,766.133333333333,1445.02702702703,11,35,32,19,674.731707317073,1071.58333333333,13,28,35,23,36,28
61,1045.09803921569,1638,8,10,-99,-99,-99,-99,-99,-99,-99,-99,30,-99
62,592.28,1621.97368421053,14,43,38,22,639.294117647059,995.4,16,54,45,25,31,25
63,1093.0612244898,1582.875,19,38,36,21,843.21568627451,1914,20,28,29,27,31,25
64,956.583333333333,1350.825,13,41,30,21,775.574468085106,1256.68421052632,15,19,16,16,35,25
65,661.44,1180.725,23,39,43,-99,544.44,1010.91666666667,23,49,44,30,46,27
66,1052,2284,18,45,40,33,1032.86274509804,2583,18,42,33,25,35,25
