NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
1248.0,2903.38461538462,5,23,17,8,2075.69230769231,-1655.3846153846198,13.25,12.0,6,0.006383412392528899,1
921.142857142857,2212.0,21,48,22,29,1566.5714285714284,-1290.8571428571431,30.0,6.0,26,0.019150100310049243,0
902.72,1943.84615384615,14,28,26,18,1423.283076923075,-1041.12615384615,21.5,9.0,2,0.015105919791078934,1
1334.29787234043,3707.26829268293,9,17,10,21,2520.7830825116803,-2372.9704203425,14.25,-7.5,7,0.00565300525017863,1
1274.50980392157,2384.91891891892,16,34,37,16,1829.714361420245,-1110.4091149973501,25.75,19.5,-3,0.01407323489553449,0
1150.5,2817.07317073171,12,33,24,14,1983.786585365855,-1666.57317073171,20.75,14.5,9,0.010459794492547811,0
637.795918367347,1583.07692307692,21,48,43,26,1110.4364207221333,-945.2810047095729,34.5,19.5,5,0.03106886567856279,0
1565.09803921569,2482.09756097561,14,23,28,15,2023.5978000956502,-916.9995217599201,20.0,10.5,-5,0.009883386905764896,0
1793.48,3539.0,10,14,31,20,2666.24,-1745.52,18.75,2.5,-17,0.007032375180028805,0
1251.05882352941,2636.78048780488,16,42,33,23,1943.919655667145,-1385.7216642754702,28.5,14.5,9,0.014661099761460522,0
1185.6,2193.0,18,41,33,23,1689.3,-1007.4000000000001,28.75,14.0,8,0.017018883561238384,0
1344.0,3960.83333333333,8,21,25,12,2652.416666666665,-2616.83333333333,16.5,11.0,-4,0.006220742090546361,1
1126.5,1932.0,16,36,33,20,1529.25,-805.5,26.25,14.5,3,0.01716527709661599,1
1686.43137254902,2593.24390243902,13,31,26,17,2139.83763749402,-906.8125298900002,21.75,11.5,5,0.010164322572375907,0
612.326530612245,1454.0,20,56,58,32,1033.1632653061224,-841.673469387755,41.5,25.0,-2,0.040167901234567906,0
825.882352941176,3000.72972972973,17,35,37,17,1913.306041335453,-2174.847376788554,26.5,19.0,-2,0.013850371779259883,0
1184.5,2256.33333333333,5,29,27,12,1720.416666666665,-1071.8333333333298,18.25,16.0,2,0.010607895374182622,1
