NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1711.0443569617528,2753.8390566433604,9,19,32,19,1,2232.441706802557,-1042.7946996816077,19.75,6.5,-13,0.008846815547214597
1483.571185690286,2354.913649327824,10,20,21,16,1,1919.242417509055,-871.3424636375378,16.75,4.5,-1,0.00872740194109025
968.5659883989408,2751.100128356881,12,17,19,16,1,1859.8330583779111,-1782.5341399579404,16.0,2.0,-2,0.00860292268056903
1652.7139782739614,3806.356835345905,3,18,3,2,1,2729.535406809933,-2153.6428570719436,6.5,8.5,15,0.002381357641956478
1514.6147946336687,4135.105646584673,3,8,10,4,1,2824.860220609171,-2620.4908519510045,6.25,5.0,-2,0.002212498853713193
1759.4223888976444,3230.1585625434614,2,11,25,7,1,2494.790475720553,-1470.736173645817,11.25,11.0,-14,0.004509396724687364
1050.8104162195025,2156.2932673189825,7,26,38,18,1,1603.5518417692424,-1105.48285109948,22.25,14.0,-12,0.013875447877904025
1080.4964371790268,1656.2436964567664,15,39,36,23,1,1368.3700668178967,-575.7472592777397,28.25,14.5,3,0.020644999978458953
1156.6761925664587,3280.5337235864026,3,19,27,11,1,2218.6049580764306,-2123.857531019944,15.0,12.0,-8,0.006761005354012416
1759.4223896388949,2484.7337853922054,8,40,24,14,1,2122.07808751555,-725.3113957533105,23.75,22.5,7,0.011191859592591346
1038.972641858164,3451.0132321441824,16,52,45,28,1,2244.9929370011732,-2412.0405902860184,35.25,20.5,7,0.015701608418898057
1281.7765441468887,1484.34146341463,10,42,24,12,1,1383.0590037807592,-202.5649192677413,22.0,21.0,18,0.015906768937438264
679.4373025540964,1996.4010699057887,13,38,28,13,1,1337.9191862299426,-1316.9637673516922,23.0,20.0,10,0.01719087388588349
1759.4223897058828,4345.9423076923085,9,5,15,4,1,3052.6823486990957,-2586.5199179864258,7.0,6.0,-10,0.002293065311227277
1053.764610251399,2525.9289770311766,15,26,32,27,1,1789.8467936412878,-1472.1643667797775,28.0,8.0,6,0.01564379705540092
977.4127007330035,1937.3065702597837,16,19,28,16,1,1457.3596354963936,-959.8938695267802,19.75,7.5,-9,0.013551905458983958
973.5667884003949,2874.438603823141,5,19,20,7,1,1924.0026961117678,-1900.871815422746,12.75,12.5,-1,0.0066268098406306545
1199.7422847624953,3393.7011707358843,12,21,28,3,1,2296.72172774919,-2193.958885973389,16.0,21.5,-7,0.006966451271253131
901.611311514042,2191.877345547704,13,27,24,11,1,1546.744328530873,-1290.266034033662,18.75,14.5,3,0.01212223614086045
614.791666666667,1719.4986127277887,6,39,35,18,1,1167.145139697228,-1104.7069460611217,24.5,19.0,4,0.020991391016146128
1133.91176665723,2236.8382754276613,11,22,16,7,1,1685.3750210424455,-1102.9265087704314,14.0,12.0,6,0.008306756552813007
1643.1180609281714,3737.690117774385,8,18,18,14,1,2690.4040893512783,-2094.5720568462134,14.5,4.0,0,0.005389524962954881
1759.0035698705447,2210.8831079341385,5,34,14,5,1,1984.9433389023416,-451.8795380635938,14.5,19.0,20,0.007304994412591689
1639.963403002697,3689.429880282142,10,24,25,7,1,2664.6966416424198,-2049.466477279445,16.5,17.5,-1,0.006192074453106911
1673.1455831373926,4028.065222873271,4,5,21,9,1,2850.605403005332,-2354.9196397358783,9.75,4.0,-16,0.0034203260787050234
1574.6475113159388,3606.827828474218,12,31,30,14,1,2590.7376698950784,-2032.1803171582794,21.75,16.5,1,0.008395292295600293
1716.2577293673119,4088.3095768252615,5,29,35,22,1,2902.283653096287,-2372.0518474579494,22.75,10.0,-6,0.007838654907393851
809.3840868706419,3683.6526718532323,15,19,33,16,1,2246.518379361937,-2874.2685849825903,20.75,10.0,-14,0.009236514684506716
1237.3201761341109,1974.347344778264,16,31,24,24,1,1605.8337604561875,-737.0271686441531,27.25,10.5,-7,0.016969377946221414
995.2828053769418,1983.0159270684894,18,31,26,24,1,1489.1493662227156,-987.7331216915476,24.75,4.5,5,0.016620226661857772
1759.4223897058828,4345.9423076923085,3,18,20,2,1,3052.6823486990957,-2586.5199179864258,10.75,17.0,-2,0.003521493156527604
1309.053302489704,2952.3263963562063,3,8,18,3,1,2130.6898494229554,-1643.2730938665022,8.0,10.0,-10,0.003754652514143646
1013.2881519597197,1878.1001839173105,5,28,36,13,1,1445.694167938515,-864.8120319575908,18.75,26.0,-8,0.012969548066119378
954.8510086257313,2515.909585934684,8,38,24,7,1,1735.3802972802077,-1561.0585773089526,15.75,17.0,28,0.009075820455421367
681.745261927691,2844.9869044902425,17,43,38,22,1,1763.3660832089668,-2163.2416425625515,30.0,18.5,5,0.01701291653823187
1192.470406915778,2777.3605016224888,6,17,23,12,1,1984.9154542691335,-1584.8900947067107,14.5,8.0,-6,0.0073050970351438696
1292.2533672917434,1945.140257197765,14,22,35,11,1,1618.6968122447543,-652.8868899060217,20.5,17.5,-13,0.012664508785656175
1447.8278671155385,2626.816916635832,10,9,24,19,1,2037.3223918756853,-1178.9890495202935,15.5,-2.5,-15,0.007608025151935886
1300.8388841993142,3218.570392623681,8,41,39,7,1,2259.7046384114974,-1917.731508424367,23.75,33.0,2,0.010510223148758506
1424.7884430569288,3258.383633743538,10,20,7,15,1,2341.5860384002335,-1833.5951906866094,13.0,-1.5,13,0.005551792582806831
