NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1176.6027778716552,3927.038918390604,3,18,6,7,1,2551.8208481311294,-2750.4361405189484,8.5,5.0,12,0.0033309548380803
1392.96673685169,2965.5177880624187,12,26,37,13,1,2179.2422624570545,-1572.5510512107287,22.0,18.5,-11,0.0100952520878451
1705.475650298754,4264.540812004438,3,12,5,2,1,2985.008231151596,-2559.065161705684,5.5,6.5,7,0.0018425409828355
1214.3344735215128,1732.980684421284,10,17,44,16,1,1473.6575789713984,-518.6462108997712,21.75,14.5,-27,0.0147591952909213
1459.696212085163,2970.444236504012,12,42,27,21,1,2215.070224294588,-1510.7480244188491,25.5,13.5,15,0.0115120503721769
1163.4030496265216,2337.6633834361114,12,40,26,25,1,1750.5332165313166,-1174.2603338095898,25.75,8.0,14,0.0147098037082717
1759.4223897058828,3431.886840426456,14,17,29,10,1,2595.6546150661693,-1672.464450720573,17.5,13.0,-12,0.0067420372103501
1184.081524908519,1546.9757474667242,16,37,30,19,1,1365.5286361876215,-362.8942225582052,25.5,14.5,7,0.0186740865948985
809.6040719036656,1836.5605800034432,13,52,43,22,1,1323.0823259535543,-1026.9565080997777,32.5,25.5,9,0.0245638531801507
1596.456450201643,2140.5081611467376,14,39,29,7,1,1868.4823056741905,-544.0517109450946,22.25,27.0,10,0.0119080603184838
1627.1103833057484,3500.109587430093,8,18,8,10,1,2563.6099853679207,-1872.9992041243447,11.0,3.0,10,0.0042908242918304
1509.5152287785206,3651.925650655861,3,29,12,14,1,2580.7204397171904,-2142.41042187734,14.5,6.5,17,0.0056185861036476
875.4511316561585,2233.4669061414847,9,27,28,15,1,1554.4590188988216,-1358.0157744853263,19.75,12.5,-1,0.0127053848058202
1670.2973846021202,2592.2002560410983,8,24,30,20,1,2131.2488203216094,-921.902871438978,20.5,7.0,-6,0.0096187736525746
726.4317160299156,3290.456388853076,12,28,33,13,1,2008.444052441496,-2564.02467282316,20.5,21.5,-5,0.0102069061744934
1195.387565006285,1646.286792016885,17,45,45,23,1,1420.837178511585,-450.8992270106002,32.5,22.0,0,0.0228738383901404
1269.308849286906,2545.593477421738,8,37,28,13,1,1907.451163354322,-1276.284628134832,20.25,24.5,9,0.0106162613172119
1218.6023011346929,2272.8402399725856,11,49,34,18,1,1745.721270553639,-1054.237938837893,28.0,23.5,15,0.016039215693983
643.2815274316749,2984.145928387487,5,26,26,19,1,1813.713727909581,-2340.864400955812,19.0,7.0,0,0.0104757436124653
