NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
733.098039215686,1722.0,13.0,36.0,29.0,15.0,1,1227.549019607843,-988.901960784314,23.25,17.5,7.0,0.01894018049675
810.588235294118,1622.775,20.0,43.0,43.0,27.0,0,1216.681617647059,-812.1867647058821,33.25,16.0,0.0,0.0273284312984648
1012.47058823529,1996.10526315789,18.0,41.0,30.0,26.0,0,1504.28792569659,-983.6346749226,28.75,9.5,11.0,0.019112032682618
959.450980392157,1569.0,22.0,60.0,49.0,39.0,0,1264.2254901960785,-609.549019607843,42.5,15.5,11.0,0.0336174205705777
1594.5,3403.13513513514,9.0,13.0,13.0,4.0,1,2498.81756756757,-1808.63513513514,9.75,9.0,0.0,0.0039018454674492
1344.0,3960.83333333333,8.0,21.0,25.0,12.0,1,2652.416666666665,-2616.83333333333,16.5,11.0,-4.0,0.006220742090544
1150.5,2817.07317073171,12.0,33.0,24.0,14.0,0,1983.786585365855,-1666.57317073171,20.75,14.5,9.0,0.0104597944925425
687.96,1195.0,23.0,58.0,51.0,31.0,0,941.48,-507.04,40.75,23.5,7.0,0.0432829162594603
735.428571428571,3443.3,17.0,39.0,50.0,23.0,0,2089.3642857142854,-2707.871428571429,32.25,21.5,-11.0,0.0154353169624316
666.5,1378.125,27.0,61.0,63.0,34.0,0,1022.3125,-711.625,46.25,28.0,-2.0,0.0452405697865914
1080.27450980392,2822.0,9.0,21.0,14.0,11.0,1,1951.13725490196,-1741.72549019608,13.75,6.5,7.0,0.0070471720866627
732.0,1382.76923076923,18.0,43.0,41.0,31.0,0,1057.384615384615,-650.76923076923,33.25,11.0,2.0,0.0314455114214747
1244.5,1929.5,17.0,46.0,41.0,32.0,0,1587.0,-685.0,34.0,11.5,5.0,0.0214240705733954
1248.0,2903.38461538462,5.0,23.0,17.0,8.0,1,2075.69230769231,-1655.3846153846198,13.25,12.0,6.0,0.0063834123925258
1686.43137254902,2593.24390243902,13.0,31.0,26.0,17.0,0,2139.83763749402,-906.8125298900002,21.75,11.5,5.0,0.0101643225723711
979.843137254902,1961.4,20.0,42.0,46.0,27.0,0,1470.621568627451,-981.556862745098,33.75,17.0,-4.0,0.0229494798117753
774.901960784314,2218.46153846154,13.0,43.0,41.0,30.0,0,1496.6817496229269,-1443.559577677226,31.75,12.0,2.0,0.0212135946790143
929.882352941176,2242.15384615385,12.0,38.0,22.0,13.0,0,1586.018099547513,-1312.2714932126737,21.25,17.0,16.0,0.0133983338563722
898.56,2013.45454545455,18.0,36.0,38.0,19.0,1,1456.007272727275,-1114.89454545455,27.75,18.0,-2.0,0.0190589707343987
569.960784313726,1543.5,18.0,52.0,49.0,35.0,0,1056.730392156863,-973.539215686274,38.5,15.5,3.0,0.0364331340195319
735.137254901961,1435.17073170732,19.0,63.0,61.0,32.0,0,1085.1539933046406,-700.0334768053591,43.75,30.0,2.0,0.0403168585010934
640.5,1810.54054054054,15.0,52.0,37.0,25.0,1,1225.52027027027,-1170.04054054054,32.25,19.5,15.0,0.0263153542069617
1759.4223897058828,3539.0,10.0,14.0,31.0,20.0,1,2649.2111948529414,-1779.5776102941172,18.75,2.5,-17.0,0.0070775784265224
1565.09803921569,2482.09756097561,14.0,23.0,28.0,15.0,0,2023.5978000956504,-916.99952175992,20.0,10.5,-5.0,0.00988338690576
731.64,1041.80487804878,21.0,62.0,54.0,34.0,0,886.72243902439,-310.16487804878,42.75,24.0,8.0,0.0482112531707071
1021.64705882353,1966.82926829268,17.0,41.0,43.0,30.0,0,1494.238163558105,-945.18220946915,32.75,12.0,-2.0,0.0219175234568987
1003.29411764706,3721.59375,8.0,34.0,29.0,8.0,1,2362.44393382353,-2718.29963235294,19.75,23.5,5.0,0.0083599867566071
903.5,2026.884146341465,5.0,6.0,5.0,21.0,1,1465.1920731707326,-1123.384146341465,9.25,-15.5,1.0,0.0063131654677712
923.764705882353,1515.675,13.0,31.0,18.0,12.0,1,1219.7198529411764,-591.9102941176469,18.5,12.5,13.0,0.0151674173010915
1252.0,3680.63414634146,15.0,49.0,24.0,21.0,0,2466.31707317073,-2428.63414634146,27.25,15.5,25.0,0.0110488632205574
802.88,1472.56097560976,18.0,46.0,45.0,28.0,0,1137.72048780488,-669.6809756097599,34.25,17.5,1.0,0.0301040548773556
1194.96,2755.84615384615,7.0,17.0,9.0,8.0,1,1975.403076923075,-1560.88615384615,10.25,5.0,8.0,0.0051888144347534
661.44,1180.725,23.0,39.0,43.0,21.0,0,921.0825,-519.2849999999999,31.5,20.0,-4.0,0.0341988909787839
627.64,1275.89189189189,18.0,53.0,38.0,30.0,0,951.7659459459452,-648.2518918918901,34.75,15.5,15.0,0.0365110772748083
1287.0,2178.0,9.0,26.0,25.0,19.0,1,1732.5,-891.0,19.75,6.5,1.0,0.0113997113997048
972.5,1380.61538461538,21.0,58.0,56.0,36.0,0,1176.55769230769,-408.11538461538,42.75,21.0,2.0,0.0363348098265493
921.0,2691.6,13.0,29.0,26.0,12.0,0,1806.3,-1770.6,20.0,15.5,3.0,0.0110723578585998
1158.56,3022.5,4.0,18.0,14.0,9.0,1,2090.53,-1863.94,11.25,7.0,4.0,0.0053814104557191
1053.27659574468,3118.5,6.0,8.0,17.0,2.0,1,2085.88829787234,-2065.22340425532,8.25,10.5,-9.0,0.0039551494720073
815.686274509804,2124.0,20.0,47.0,47.0,21.0,0,1469.843137254902,-1308.313725490196,33.75,26.0,0.0,0.0229616338944909
1195.48,1855.17073170732,11.0,30.0,24.0,21.0,0,1525.32536585366,-659.6907317073201,21.5,6.0,6.0,0.0140953533464339
1275.59183673469,2150.16666666667,14.0,35.0,26.0,21.0,1,1712.87925170068,-874.57482993198,24.0,9.5,9.0,0.0140114955424656
894.739130434783,1914.70588235294,3.0,33.0,27.0,3.0,0,1404.7225063938615,-1019.9667519181572,16.5,27.0,6.0,0.0117460921462319
624.0,1154.46153846154,20.0,49.0,34.0,21.0,0,889.23076923077,-530.4615384615399,31.0,20.5,15.0,0.0348615916954625
1150.24,1559.25,4.0,32.0,30.0,4.0,1,1354.745,-409.01,17.5,27.0,2.0,0.0129175601312328
835.5,1937.12195121951,11.0,28.0,24.0,3.0,1,1386.3109756097551,-1101.62195121951,16.5,23.0,4.0,0.011902091442889
1134.5,3163.125,16.0,44.0,29.0,24.0,0,2148.8125,-2028.625,28.25,12.5,15.0,0.013146796195567
991.058823529412,3234.0,14.0,37.0,32.0,24.0,1,2112.529411764706,-2242.941176470588,26.75,10.5,5.0,0.0126625455962961
847.08,1811.38461538462,11.0,49.0,44.0,27.0,0,1329.23230769231,-964.30461538462,32.75,19.5,5.0,0.0246382816686368
974.0,1512.0,20.0,47.0,43.0,32.0,0,1243.0,-538.0,35.5,13.0,4.0,0.0285599356395586
1514.11764705882,3246.71052631579,4.0,41.0,14.0,12.0,1,2380.414086687305,-1732.59287925697,17.75,15.5,27.0,0.0074566858343097
836.078431372549,1316.92105263158,21.0,62.0,49.0,29.0,0,1076.4997420020643,-480.8426212590312,40.25,26.5,13.0,0.037389697767234
902.72,1943.84615384615,14.0,28.0,26.0,18.0,1,1423.283076923075,-1041.12615384615,21.5,9.0,2.0,0.0151059197910683
894.4,2360.4,19.0,42.0,40.0,23.0,0,1627.4,-1466.0,31.0,18.0,2.0,0.0190487894801406
582.4,1187.55,19.0,54.0,48.0,35.0,0,884.9749999999999,-605.15,39.0,16.0,6.0,0.0440690414982976
1185.6,2193.0,18.0,41.0,33.0,23.0,0,1689.3,-1007.4,28.75,14.0,8.0,0.0170188835612283
1221.0,2325.75,20.0,45.0,53.0,33.0,0,1773.375,-1104.75,37.75,16.0,-8.0,0.0212870938182723
880.816326530612,3883.86486486487,11.0,36.0,17.0,12.0,1,2382.340595697741,-3003.048538334258,19.0,14.5,19.0,0.0079753499706566
811.607843137255,2027.26829268293,18.0,33.0,35.0,19.0,0,1419.4380679100925,-1215.660449545675,26.25,15.0,-2.0,0.0184932337616044
999.5,2224.5,13.0,40.0,38.0,15.0,0,1612.0,-1225.0,26.5,24.0,2.0,0.0164392059553247
921.142857142857,2212.0,21.0,48.0,22.0,29.0,0,1566.5714285714284,-1290.8571428571431,30.0,6.0,26.0,0.019150100310037
1759.4223897058828,4345.9423076923085,4.0,2.0,11.0,5.0,1,3052.682348699096,-2586.5199179864258,5.5,1.5,-9.0,0.0018016941731071
661.96,1356.075,18.0,49.0,45.0,30.0,0,1009.0175,-694.115,35.5,17.0,4.0,0.035182739645214
1073.5,2352.0,12.0,47.0,38.0,21.0,0,1712.75,-1278.5,29.5,21.5,9.0,0.0172237629543031
1651.0,2926.0,7.0,22.0,12.0,8.0,1,2288.5,-1275.0,12.25,9.0,10.0,0.0053528512125823
585.5,1821.75,25.0,64.0,62.0,42.0,0,1203.625,-1236.25,48.25,21.0,2.0,0.0400872364731207
614.791666666667,1841.92105263158,16.0,39.0,42.0,19.0,1,1228.3563596491235,-1227.1293859649131,29.0,21.5,-3.0,0.0236087840244179
748.392156862745,1346.91666666667,23.0,69.0,44.0,14.0,0,1047.6544117647074,-598.524509803925,37.5,42.5,25.0,0.035794246250343
1355.05882352941,2700.5,9.0,26.0,24.0,7.0,1,2027.779411764705,-1345.44117647059,16.5,18.0,2.0,0.0081369797445731
981.0,2331.51219512195,13.0,44.0,46.0,23.0,0,1656.256097560975,-1350.5121951219498,31.5,22.0,-2.0,0.0190187979059327
739.96,1172.325,16.0,47.0,44.0,26.0,0,956.1425,-432.365,33.25,19.5,3.0,0.0347751511934311
759.958333333333,2045.64705882353,15.0,37.0,24.0,22.0,0,1402.8026960784314,-1285.688725490197,24.5,8.5,13.0,0.0174650362937516
734.117647058824,1628.55,21.0,44.0,47.0,33.0,0,1181.333823529412,-894.432352941176,36.25,12.5,-3.0,0.0306856531811363
888.0,2570.84210526316,16.0,45.0,42.0,23.0,1,1729.42105263158,-1682.8421052631602,31.5,20.5,3.0,0.0182141878937172
1004.0,3110.0,19.0,48.0,48.0,35.0,0,2057.0,-2106.0,37.5,13.0,0.0,0.0182304326689264
1461.2,1892.21052631579,4.0,57.0,49.0,27.0,0,1676.705263157895,-431.01052631579,34.25,26.0,8.0,0.0204269651634977
930.441176470588,2727.30769230769,16.0,26.0,43.0,17.0,1,1828.874434389139,-1796.866515837102,25.5,17.5,-17.0,0.0139430020566192
637.795918367347,1583.07692307692,21.0,48.0,43.0,26.0,0,1110.436420722133,-945.2810047095728,34.5,19.5,5.0,0.0310688656785348
1118.5652173913,2026.884146341465,15.0,39.0,6.0,21.0,0,1572.7246818663823,-908.3189289501652,20.25,1.5,33.0,0.0128757437544351
