NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
625.9680835577519,1618.7522192900392,8,18.0,21,17.0,1,1122.3601514238956,-992.7841357322872,16.0,2.5,-3,0.0142556736174989
955.2536146435928,2584.2335080726098,7,23.0,45,14.0,1,1769.7435613581013,-1628.979893429017,22.25,20.0,-22,0.0125724429718578
740.4174180082017,4099.737424988521,11,44.0,12,14.5,1,2420.077421498361,-3359.320006980319,18.5,21.0,32,0.0076443835373408
898.6468699277581,1224.0792194343258,20,29.5,22,30.0,1,1061.363044681042,-325.4323495065677,25.25,-4.5,7,0.0237901631553077
941.4384974815164,2188.38980611336,7,21.0,26,12.0,1,1564.914151797438,-1246.9513086318432,16.5,11.5,-5,0.0105437093664453
1203.4603791358918,3775.348762521574,11,27.0,18,8.0,1,2489.404570828733,-2571.888383385682,16.0,14.5,9,0.006427239745393
559.7373966207094,1365.69407589581,16,50.0,35,14.5,1,962.7157362582597,-805.9566792751004,34.25,6.5,15,0.0355764414250485
886.5985232276394,1825.2962341545344,9,39.0,32,15.0,1,1355.947378691087,-938.6977109268952,23.75,20.5,7,0.0175154289710775
1255.2954199496369,2341.827069928256,17,44.0,30,26.0,1,1798.5612449389464,-1086.5316499786193,29.25,11.0,14,0.0162629991512892
1310.5382165774315,3334.446621251951,9,25.0,2,3.0,1,2322.492418914692,-2023.9084046745195,9.75,10.5,23,0.0041980761360469
1023.1311883966742,2056.9579711938377,9,44.0,32,13.0,1,1540.044579795256,-1033.8267827971636,24.5,25.0,12,0.0159086303873367
557.8755943570255,1108.2899781347217,24,58.0,56,35.0,1,833.0827862458736,-550.4143837776961,43.25,22.0,2,0.0519156087654215
1200.8871514134744,4109.149419762212,7,31.0,23,12.0,1,2655.018285587844,-2908.262268348738,18.25,15.0,8,0.0068737756342617
950.8436011885192,1341.793445468992,9,40.0,24,5.0,1,1146.3185233287556,-390.9498442804728,19.5,27.0,16,0.0170109787141514
1732.1885270665034,4902.437110879335,3,11.0,22,2.0,1,3317.312818972919,-3170.2485838128314,9.5,14.5,-11,0.0028637636901962
1543.122110827058,2934.592698124138,6,12.0,32,20.0,1,2238.857404475598,-1391.4705872970803,17.5,2.0,-20,0.0078164870906957
869.9642228361829,1990.8823295391,13,34.0,27,18.0,1,1430.4232761876417,-1120.9181067029172,23.0,12.5,7,0.0160791566963895
1406.3384171736566,3694.5201129962097,9,21.0,30,17.0,1,2550.429265084933,-2288.181695822553,19.25,8.5,-9,0.0075477490254376
769.3996319711534,1421.423519005834,10,57.0,46,21.0,1,1095.4115754884938,-652.0238870346807,33.5,30.5,11,0.0305821124676633
1287.302405663262,1931.0497658765607,5,13.0,15,7.0,1,1609.1760857699114,-643.7473602132986,10.0,7.0,-2,0.0062143603104872
533.254901960784,2150.5674655941225,23,61.0,53,37.0,1,1341.9111837774533,-1617.3125636333384,43.5,20.0,8,0.0324164523895806
894.2383962183214,2679.347917433249,22,27.0,41,30.0,1,1786.7931568257854,-1785.1095212149278,30.0,4.0,-14,0.016789856109186
1004.2845409443228,3094.2170259640598,2,12.0,15,9.0,1,2049.250783454191,-2089.9324850197363,9.5,4.5,-3,0.0046358406090162
1038.996843052366,1817.2161912454487,4,15.0,37,11.0,1,1428.1065171489074,-778.2193481930826,16.75,15.0,-22,0.0117288170026898
826.1421434890929,2146.626673096106,8,35.0,20,12.0,1,1486.3844082925991,-1320.4845296070132,18.75,15.5,15,0.0126145026114243
1435.6695161308337,1775.968462679858,16,37.0,30,9.0,1,1605.8189894053455,-340.2989465490243,23.0,24.5,7,0.0143229094634774
1214.186443879097,2017.8351824075096,11,31.0,15,14.0,1,1616.0108131433035,-803.6487385284129,17.75,9.0,16,0.0109838373949141
1370.3390695869873,2228.90639454864,13,29.5,28,15.0,1,1799.6227320678136,-858.5673249616523,17.75,6.5,-13,0.0098631783671652
1174.2082682722034,2646.546896489501,17,36.0,35,16.0,1,1910.377582380852,-1472.3386282172974,26.0,19.5,1,0.0136098749481677
711.2629838706794,1422.887264615209,21,42.0,49,14.5,1,1067.0751242429442,-711.6242807445296,36.25,12.5,-7,0.0339713663793673
662.8902868752334,1065.75,22,48.0,54,14.5,1,864.3201434376167,-402.8597131247666,37.75,24.0,-6,0.0436759461023494
643.0466552215971,1673.5333280063646,20,37.0,44,34.0,1,1158.2899916139809,-1030.4866727847675,33.75,6.5,-7,0.0291377809048863
1662.0427004410465,3804.8663472507255,8,27.0,23,18.0,1,2733.454523845886,-2142.8236468096798,19.0,7.0,4,0.0069509113227391
1410.9150632936253,4158.533268398503,3,16.0,39,9.0,1,2784.7241658460644,-2747.618205104878,16.75,18.5,-23,0.0060149583953155
1468.9515721831751,3129.7172814674755,11,42.0,24,8.0,1,2299.3344268253254,-1660.7657092843003,21.25,25.0,18,0.0092418048249425
1553.646940443956,2196.80319694687,2,18.0,8,12.0,1,1875.225068695413,-643.1562565029137,10.0,1.0,10,0.0053326932147678
920.8361218519524,1235.6068929687171,11,54.0,39,35.0,1,1078.2215074103349,-314.7707711167648,34.75,11.5,15,0.0322289991074562
775.6786530759628,2317.675224005865,13,30.0,32,15.0,1,1546.676938540914,-1541.9965709299022,22.5,16.0,-2,0.0145473171800254
1914.823870468219,4902.437110879335,9,6.0,3,11.0,1,3408.630490673777,-2987.613240411116,7.25,-6.5,3,0.0021269539247021
887.8124686540951,3408.683178516787,11,50.0,22,5.0,1,2148.247823585441,-2520.870709862692,22.0,31.0,28,0.0102409041258897
612.2836708691825,1606.281998350125,19,41.0,35,32.0,1,1109.2828346096535,-993.9983274809424,31.75,6.0,6,0.0286220961952808
