NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
821.736842105263,2534.25,6.0,40.0,35.0,21.0,1,1677.9934210526314,-1712.513157894737,25.5,16.5,5.0,0.0151967222755785
1739.5035714285718,2945.5,11.0,32.0,36.0,17.0,0,2342.5017857142857,-1205.9964285714282,24.0,17.0,-4.0,0.0102454564373668
1195.48,1855.17073170732,11.0,30.0,24.0,21.0,0,1525.32536585366,-659.6907317073201,21.5,6.0,6.0,0.0140953533464339
859.591836734694,1832.775,17.0,32.0,35.0,24.0,0,1346.183418367347,-973.183163265306,27.0,9.5,-3.0,0.0200567022528962
1229.58333333333,2728.34210526316,15.0,43.0,31.0,20.0,0,1978.9627192982448,-1498.75877192983,27.25,17.0,12.0,0.0137698399945852
1651.0,2926.0,7.0,22.0,12.0,8.0,1,2288.5,-1275.0,12.25,9.0,10.0,0.0053528512125823
677.04,1702.65789473684,13.0,35.0,33.0,21.0,1,1189.84894736842,-1025.61789473684,25.5,13.0,2.0,0.0214312918092474
1632.90196078431,4025.026315789472,6.0,20.0,10.0,12.0,1,2828.9641382868917,-2392.124355005162,12.0,3.0,10.0,0.0042418353197161
910.541666666667,1546.8,11.0,40.0,3.0,3.0,0,1228.6708333333336,-636.258333333333,14.25,18.5,37.0,0.0115978988134102
1337.44,3586.45945945946,3.0,20.0,16.0,4.0,1,2461.9497297297303,-2249.01945945946,10.75,14.0,4.0,0.0043664579622329
1069.12,3261.0,7.0,28.0,24.0,11.0,0,2165.06,-2191.88,17.5,15.0,4.0,0.0080829168706603
656.76,1239.0,22.0,57.0,44.0,33.0,0,947.88,-582.24,39.0,17.5,13.0,0.0411444486643444
959.450980392157,1569.0,22.0,60.0,49.0,39.0,0,1264.2254901960785,-609.549019607843,42.5,15.5,11.0,0.0336174205705777
1167.5,1950.0,11.0,32.0,16.0,6.0,1,1558.75,-782.5,16.25,18.0,16.0,0.0104250200481087
655.0,1618.8,22.0,50.0,35.0,21.0,0,1136.9,-963.8,32.0,21.5,15.0,0.0281467147506129
640.5,1810.54054054054,15.0,52.0,37.0,25.0,1,1225.52027027027,-1170.04054054054,32.25,19.5,15.0,0.0263153542069617
1093.0612244898,1582.875,19.0,38.0,36.0,21.0,0,1337.9681122449,-489.8137755102,28.5,16.0,2.0,0.0213009560834452
803.877551020408,1526.0,15.0,42.0,36.0,24.0,1,1164.938775510204,-722.122448979592,29.25,15.0,6.0,0.025108615675673
1645.13725490196,2515.90243902439,8.0,17.0,27.0,13.0,1,2080.519846963175,-870.7651841224299,16.25,9.0,-10.0,0.0078105479376759
989.061224489796,2930.05263157895,6.0,11.0,18.0,13.0,1,1959.556928034373,-1940.9914070891537,12.0,1.5,-7.0,0.006123833315744
1461.2,1892.21052631579,4.0,57.0,49.0,27.0,0,1676.705263157895,-431.01052631579,34.25,26.0,8.0,0.0204269651634977
667.843137254902,1715.36842105263,20.0,46.0,42.0,31.0,0,1191.605779153766,-1047.5252837977282,34.75,13.0,4.0,0.0291623291930062
569.960784313726,1543.5,18.0,52.0,49.0,35.0,0,1056.730392156863,-973.539215686274,38.5,15.5,3.0,0.0364331340195319
1050.83333333333,1852.30769230769,11.0,27.0,30.0,12.0,0,1451.57051282051,-801.47435897436,20.0,16.5,-3.0,0.0137781801320314
1408.24489795918,3129.51219512195,5.0,20.0,17.0,6.0,1,2268.878546540565,-1721.26729716277,12.0,12.5,3.0,0.0052889565280131
1093.01960784314,2463.65853658537,12.0,52.0,43.0,22.0,0,1778.3390722142549,-1370.6389287422298,32.25,25.5,9.0,0.0181348993023172
