Training,Mode,Model,Recall,Recall_CI_Lower,Recall_CI_Upper,Recall_CI_Type,Precision,Precision_CI_Lower,Precision_CI_Upper,Precision_CI_Type,F1,F1_CI_Lower,F1_CI_Upper,F1_CI_Type,F2,F2_CI_Lower,F2_CI_Upper,F2_CI_Type,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_CI_Type,AUC-ROC,AUC-ROC_CI_Lower,AUC-ROC_CI_Upper,AUC-ROC_CI_Type,RMSE,RMSE_CI_Lower,RMSE_CI_Upper,RMSE_CI_Type
TRTR,no_threshold,C4.5,0.8235294117647058,0.5897054143116588,0.9380887336237901,Wilson,0.7,0.4810271816464765,0.8545227551323956,Wilson,0.7567567567567568,0.5714285714285714,0.8947368421052632,Bootstrap,0.7954545454545454,0.6,0.9328482587064677,Bootstrap,0.8125,0.7083333333333334,0.9166666666666666,Bootstrap,0.8633776091081593,0.7525084175084175,0.9565800865800865,Bootstrap,0.379237520891732,0.29389545889334323,0.464870509470419,Bootstrap
TRTR,no_threshold,CART,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.6818181818181818,0.47318597741042745,0.8363940681864375,Wilson,0.7692307692307693,0.5998148148148148,0.9047619047619048,Bootstrap,0.8333333333333334,0.6666666666666666,0.945981507823613,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.8994307400379506,0.8041814305879642,0.9696758329012185,Bootstrap,0.3862696418148053,0.2972339579648986,0.4653610675676753,Bootstrap
TRTR,no_threshold,Random Forest,0.6470588235294118,0.41300363485218694,0.8269027960275627,Wilson,0.7857142857142857,0.524107694133997,0.9242861328730683,Wilson,0.7096774193548387,0.4826896551724138,0.8648648648648649,Bootstrap,0.6707317073170732,0.4411764705882353,0.8571428571428571,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.888045540796964,0.7858439201451906,0.9676767676767676,Bootstrap,0.3626917118079758,0.2852765976519331,0.4297809104345217,Bootstrap
TRTR,no_threshold,Logistic Regression,0.7647058823529411,0.5273820188043501,0.9044495567791988,Wilson,0.8125,0.5699111903802586,0.9340840092857187,Wilson,0.7878787878787878,0.6,0.9142857142857143,Bootstrap,0.7738095238095238,0.5644877328487052,0.9340659340659341,Bootstrap,0.8541666666666666,0.75,0.9380208333333329,Bootstrap,0.920303605313093,0.8222202056866303,0.9818639830739044,Bootstrap,0.33732195186722896,0.2554918897906574,0.40724109453781926,Bootstrap
TRTR,no_threshold,SVM (RBF),0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.75,0.5050168346449122,0.8981793250878696,Wilson,0.7272727272727273,0.5217391304347826,0.8824095022624434,Bootstrap,0.7142857142857143,0.5084438712846966,0.8860759493670886,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.8994307400379508,0.7812210648148148,0.9851984126984128,Bootstrap,0.35530078849186153,0.28401063767597357,0.42677395134477764,Bootstrap
TRTR,no_threshold,kNN,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.6666666666666666,0.43749467295945105,0.837212252491663,Wilson,0.6857142857142857,0.4827586206896552,0.8333333333333334,Bootstrap,0.6976744186046512,0.4638327455236028,0.8621081504702194,Bootstrap,0.7708333333333334,0.6458333333333334,0.875,Bootstrap,0.8690702087286528,0.7663636363636364,0.9526810515873017,Bootstrap,0.37859388972001823,0.2958039891549808,0.45916591046519706,Bootstrap
TRTR,no_threshold,Naive Bayes,0.6470588235294118,0.41300363485218694,0.8269027960275627,Wilson,0.8461538461538461,0.5776536898051745,0.9567418216419186,Wilson,0.7333333333333333,0.5185185185185185,0.8936170212765957,Bootstrap,0.6790123456790124,0.45454545454545453,0.8666666666666667,Bootstrap,0.8333333333333334,0.7291666666666666,0.9375,Bootstrap,0.9184060721062619,0.8257152770364043,0.9802260044642856,Bootstrap,0.39005402687969115,0.2550414402971569,0.49970786849604476,Bootstrap
TRTR,thresholded,C4.5,0.8235294117647058,0.5897054143116588,0.9380887336237901,Wilson,0.7,0.4810271816464765,0.8545227551323956,Wilson,0.7567567567567568,0.583266129032258,0.8947822141560798,Bootstrap,0.7954545454545454,0.6328780812791472,0.9302325581395349,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.8776091081593927,0.7777398459383753,0.961214451058201,Bootstrap,0.371968169593693,0.2923325319207933,0.44928249711874163,Bootstrap
TRTR,thresholded,CART,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.6818181818181818,0.47318597741042745,0.8363940681864375,Wilson,0.7692307692307693,0.583266129032258,0.9,Bootstrap,0.8333333333333334,0.6716190389515836,0.9375,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.8994307400379506,0.8034368503118503,0.9725274725274725,Bootstrap,0.3862696418148053,0.3027689846516724,0.46850195348829043,Bootstrap
TRTR,thresholded,Random Forest,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.8,0.5481455128483065,0.9295245065301844,Wilson,0.75,0.5515673981191223,0.8888888888888888,Bootstrap,0.7228915662650602,0.49382716049382713,0.8905191059841383,Bootstrap,0.8333333333333334,0.7286458333333333,0.9375,Bootstrap,0.888045540796964,0.783203125,0.9639685677138239,Bootstrap,0.3626917118079758,0.29081034456114174,0.43141402204564566,Bootstrap
TRTR,thresholded,Logistic Regression,0.8235294117647058,0.5897054143116588,0.9380887336237901,Wilson,0.7777777777777778,0.5478541568378739,0.9099907189139831,Wilson,0.8,0.625,0.923170731707317,Bootstrap,0.813953488372093,0.6314144736842106,0.9444444444444444,Bootstrap,0.8541666666666666,0.75,0.9380208333333329,Bootstrap,0.920303605313093,0.8263773148148149,0.9833586956521738,Bootstrap,0.33732195186722896,0.25162912823915046,0.4047746540114264,Bootstrap
TRTR,thresholded,SVM (RBF),0.8235294117647058,0.5897054143116588,0.9380887336237901,Wilson,0.7777777777777778,0.5478541568378739,0.9099907189139831,Wilson,0.8,0.636244019138756,0.9286129568106313,Bootstrap,0.813953488372093,0.6335827464788732,0.9459459459459459,Bootstrap,0.8541666666666666,0.75,0.9380208333333329,Bootstrap,0.8994307400379508,0.7780158730158732,0.9803546116046116,Bootstrap,0.35530078849186153,0.2842692529595485,0.42414074202554297,Bootstrap
TRTR,thresholded,kNN,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.625,0.42709962442674276,0.7884063244045122,Wilson,0.7317073170731707,0.5555555555555556,0.8695652173913043,Bootstrap,0.8152173913043478,0.6666666666666666,0.9340659340659341,Bootstrap,0.7708333333333334,0.6458333333333334,0.8755208333333329,Bootstrap,0.8690702087286528,0.7656360306360307,0.9495903361344538,Bootstrap,0.37859388972001823,0.2929376221263195,0.4628039328691013,Bootstrap
TRTR,thresholded,Naive Bayes,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.8,0.5481455128483065,0.9295245065301844,Wilson,0.75,0.559888888888889,0.9032258064516129,Bootstrap,0.7228915662650602,0.5222593926917138,0.8904721135029354,Bootstrap,0.8333333333333334,0.7291666666666666,0.9375,Bootstrap,0.9184060721062619,0.8263131967850662,0.9774392361111113,Bootstrap,0.39005402687969115,0.2495148926190822,0.5128109234701976,Bootstrap
